Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Parking type,Parking spaces,Longitude,Latitude,Location
2019,356,108604,108604,5 St Andrews Street NORTH MELBOURNE 3051,North Melbourne,Residential,2,144.95291,-37.80432,"-37.80432, 144.95291"
2019,356,108605,108605,7 St Andrews Street NORTH MELBOURNE 3051,North Melbourne,Residential,1,144.95292,-37.80426,"-37.80426, 144.95292"
2019,356,109816,109816,392-398 Victoria Street NORTH MELBOURNE 3051,North Melbourne,Residential,22,144.95297,-37.80523,"-37.80523, 144.95297"
2019,356,109819,109819,380-382 Victoria Street NORTH MELBOURNE 3051,North Melbourne,Private,2,144.95337,-37.80534,"-37.80534, 144.95337"
2019,356,109820,109820,376-378 Victoria Street NORTH MELBOURNE 3051,North Melbourne,Private,3,144.9535,-37.80533,"-37.80533, 144.9535"
2019,356,109961,109961,6 Warwick Street NORTH MELBOURNE 3051,North Melbourne,Residential,1,144.95348,-37.80422,"-37.80422, 144.95348"
2019,357,101530,101530,141-147 Capel Street NORTH MELBOURNE 3051,North Melbourne,Private,25,144.95491,-37.80461,"-37.80461, 144.95491"
2019,357,105038,105038,16-20 Howard Street NORTH MELBOURNE 3051,North Melbourne,Private,6,144.95414,-37.8049,"-37.8049, 144.95414"
2019,357,556746,556746,15 Capel Place NORTH MELBOURNE 3051,North Melbourne,Residential,1,144.95468,-37.80427,"-37.80427, 144.95468"
2019,357,557198,557198,10 Capel Place NORTH MELBOURNE 3051,North Melbourne,Residential,2,144.95487,-37.80418,"-37.80418, 144.95487"
2019,359,107528,107528,140-164 Peel Street NORTH MELBOURNE 3051,North Melbourne,Residential,54,144.95666,-37.80444,"-37.80444, 144.95666"
2019,359,107879,107879,321-323 Queensberry Street NORTH MELBOURNE 3051,North Melbourne,Private,4,144.95727,-37.80413,"-37.80413, 144.95727"
2019,359,107886,107886,341-347 Queensberry Street NORTH MELBOURNE 3051,North Melbourne,Private,6,144.95666,-37.80406,"-37.80406, 144.95666"
2019,359,637778,637778,26 Little Cobden Street NORTH MELBOURNE 3051,North Melbourne,Residential,1,144.95699,-37.80446,"-37.80446, 144.95699"
2019,360,592842,592842,116-120 Peel Street NORTH MELBOURNE 3051,North Melbourne,Residential,8,144.95644,-37.80531,"-37.80531, 144.95644"
2019,361,106991,106991,21-27 O'Connell Street NORTH MELBOURNE 3051,North Melbourne,Residential,28,144.95765,-37.80525,"-37.80525, 144.95765"
2019,361,106992,106992,29-35 O'Connell Street NORTH MELBOURNE 3051,North Melbourne,Residential,44,144.95762,-37.80507,"-37.80507, 144.95762"
2019,361,585174,106993,34 Cobden Street NORTH MELBOURNE 3051,North Melbourne,Private,1,144.9576,-37.80487,"-37.80487, 144.9576"
